id,name,recclass,mass_grams,year,reclat,reclong,GeoLocation
259,Dubrovnik,L3-6,1900.0,1951,42.45833,18.441670000000002,"(42.45833, 18.44167)"
260,Dunbogan,L6,30.0,1999,-31.66667,152.83333000000002,"(-31.66667, 152.83333)"
261,Dundrum,H5,2270.0,1865,52.55,-8.03333,"(52.55, -8.03333)"
263,Durala,L6,13200.0,1815,30.3,76.63333,"(30.3, 76.63333)"
264,Duruma,L6,577.0,1853,-4.0,39.5,"(-4.0, 39.5)"
265,Duwun,L6,2117.0,1943,33.43333,127.26666999999999,"(33.43333, 127.26667)"
266,Dwaleni,H4-6,3230.0,1970,-27.2,31.316670000000002,"(-27.2, 31.31667)"
267,Dyalpur,Ureilite,300.0,1872,26.25,82.0,"(26.25, 82.0)"
268,Dyarrl Island,Mesosiderite-A1,188.0,1933,-3.0,151.0,"(-3.0, 151.0)"
269,Eagle,EL6,10000.0,1947,40.78167,-96.47166999999999,"(40.78167, -96.47167)"
270,Ehole,H5,2400.0,1961,-17.3,15.833329999999998,"(-17.3, 15.83333)"
271,Eichstädt,H5,3000.0,1785,48.9,11.21667,"(48.9, 11.21667)"
272,Ekeby,H4,3336.0,1939,56.03333000000001,13.0,"(56.03333, 13.0)"
273,Ekh Khera,H6,840.0,1916,28.26667,78.78333,"(28.26667, 78.78333)"
274,El Idrissia,L6,10000.0,1989,34.41667,3.25,"(34.41667, 3.25)"
275,El Paso de Aguila,H5,17226.0,1977,25.37,-97.37,"(25.37, -97.37)"
276,El Tigre,L6,5000.0,1993,19.96722,-103.05167,"(19.96722, -103.05167)"
277,Elbert,LL6,680.5,1998,39.24667,-104.58816999999999,"(39.24667, -104.58817)"
278,Elbogen,"Iron, IID",107000.0,1399,50.18333,12.73333,"(50.18333, 12.73333)"
279,Elenovka,L5,54640.0,1951,47.83333,37.66667,"(47.83333, 37.66667)"
280,Ellemeet,Diogenite,1470.0,1925,51.75,4.0,"(51.75, 4.0)"
281,Emmaville,Eucrite-mmict,127.0,1900,-29.46667,151.61667,"(-29.46667, 151.61667)"
282,Enshi,H5,8000.0,1974,30.3,109.5,"(30.3, 109.5)"
283,Ensisheim,LL6,127000.0,1491,47.86667,7.35,"(47.86667, 7.35)"
284,Épinal,H5,277.0,1822,48.18333,6.46667,"(48.18333, 6.46667)"
285,Erakot,CM2,113.0,1940,19.03333,81.89166999999999,"(19.03333, 81.89167)"
286,Erevan,Howardite,107.2,1911,40.3,44.5,"(40.3, 44.5)"
287,Ergheo,L5,20000.0,1889,1.16667,44.16667,"(1.16667, 44.16667)"
288,Erxleben,H6,2250.0,1812,52.21667,11.25,"(52.21667, 11.25)"
289,Esnandes,L6,1500.0,1837,46.25,-1.1,"(46.25, -1.1)"
290,Essebi,C2-ung,500.0,1957,2.88333,30.83333,"(2.88333, 30.83333)"
291,Estherville,Mesosiderite-A3/4,320000.0,1879,43.41667,-94.83333,"(43.41667, -94.83333)"
292,Farmington,L5,89400.0,1890,39.75,-97.03333,"(39.75, -97.03333)"
293,Farmville,H4,56000.0,1934,35.55,-77.53333,"(35.55, -77.53333)"
